id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mood
0dcKsPZVWa64MvnoCes49q,0.316,0.0978,124.989,0.0307,0.95,0.7,0.544,213373,-11.666,0.173,Sad
0dCr3qIupWh36ilLjRHi4P,0.946,0.148,91.911,0.101,0.13,0,0.651,228333,-4.717,0.508,Happy
0DmAvNCAK08oCi7miSZUIY,0.786,0.0943,125.983,0.0478,0.197,0,0.676,218359,-4.529,0.483,Happy
0DRvClQbN9znQ295sx76VC,0.622,0.127,99.934,0.0242,0.0108,4.51E-06,0.511,196026,-5.727,0.425,Sad
0DVw5GHPCUImZ8VmRdlbmx,0.0154,0.0799,123.953,0.0987,0.994,0.945,0.578,219213,-24.126,0.244,Calm
0DZfBeJhOPyjhqoaTkE3kZ,0.613,0.143,147.168,0.0309,0.638,0.572,0.623,188413,-9.241,0.745,Sad
0e0hVla9NkILk2JWOwVCMW,0.522,0.193,133.874,0.0281,0.285,0.0127,0.476,308800,-8.159,0.0973,Sad
0ecC8p17cDNlxHXkuYqeR6,0.448,0.107,144.89,0.0276,0.8,0.182,0.39,183103,-8.57,0.077,Sad
0efOqjQkOgWPEZTzAZSB6j,0.373,0.0753,74.975,0.0279,0.197,0.898,0.575,166927,-11.642,0.123,Calm
0eGsygTp906u18L0Oimnem,0.928,0.0988,148.03,0.0759,0.00113,0,0.351,222076,-3.71,0.239,Happy
0eQcEQpGfRuDUo00SsCiK8,0.221,0.106,65.123,0.0344,0.0536,0.828,0.197,92571,-18.945,0.139,Calm
0ewX9JsKy9oa4IifkFSroa,0.0657,0.0922,98.489,0.0386,0.928,1.40E-06,0.423,305346,-14.421,0.105,Sad
0f3G1ecfRIffW1qhQt1lEG,0.423,0.0924,124.962,0.0369,0.837,0.966,0.441,268893,-9.435,0.159,Energetic
0fBSs3fRoh1yJcne77fdu9,0.249,0.087,72.847,0.0348,0.811,1.00E-06,0.236,281960,-9.595,0.181,Sad
0fcGdkaMVaJtPuYLB6bXRx,0.979,0.459,89.431,0.205,0.00022,0,0.362,197866,-4.262,0.195,Energetic
0fJFBbpUxTwjhh1ScBQjeX,0.804,0.207,132.967,0.0368,0.0186,0.0604,0.754,240746,-7.189,0.972,Happy
0FTDvOs2mzgHAqL31PBXO5,0.97,0.202,128.069,0.216,0.000405,0.772,0.587,145714,-4.512,0.146,Happy
0FXJkC3XA6UOyvti331jQw,0.414,0.11,107.438,0.0791,0.0211,0.453,0.936,152880,-8.942,0.899,Happy
0G3fbPbE1vGeABDEZF0jeG,0.657,0.053,110.596,0.0522,0.149,0.0102,0.87,495400,-7.32,0.893,Happy
0gj8zftpww3PXx8xea7Ygn,0.0302,0.107,83.222,0.0401,0.994,0.952,0.635,162083,-26.234,0.237,Calm
0gnS1k4dyGPuD3TtHFaCD8,0.889,0.391,108.279,0.172,0.0185,0.000661,0.363,235147,-6.722,0.589,Energetic
0gUAGl4nHShy1dzHikQKKU,0.0257,0.104,109.98,0.0323,0.958,0.923,0.482,170958,-26.303,0.144,Calm
0gzqZ9d1jIKo9psEIthwXe,0.928,0.2,136.258,0.0589,0.0154,0.00134,0.536,248400,-6.492,0.389,Happy
0hx6wJdPlMpT254F9UYQNu,0.15,0.124,68.774,0.0294,0.963,0,0.371,211159,-11.116,0.0785,Sad
0i6KOje3rNRSNPw0vy803g,0.975,0.148,128.017,0.0839,0.00209,0.213,0.52,181237,-3.66,0.254,Energetic
0ifSeVGUr7py5GggttDhXw,0.879,0.109,134.064,0.0514,0.0476,1.91E-06,0.811,188754,-3.724,0.962,Happy
0ikz6tENMONtK6qGkOrU3c,0.573,0.0607,81.548,0.0423,0.271,0,0.62,231333,-11.893,0.897,Happy
0iSWAT0EL8TwmzcgBjKMh6,0.869,0.0593,123.964,0.0461,0.149,0,0.678,200533,-4.345,0.882,Happy
0IvaKmBYBLVcdP0Ft8Dwik,0.411,0.0945,79.988,0.0329,0.73,0.8,0.579,185250,-13.068,0.125,Sad
0joCizO7Hg4JxL3o9mRAKA,0.149,0.122,114.695,0.0515,0.994,0.92,0.322,152157,-17.948,0.0655,Calm
0JsYp2UosjQpePYbHCvXWZ,0.233,0.069,66.866,0.0712,0.926,0.89,0.235,262280,-21.173,0.164,Calm
0K7dHDzNwEAF4kgJUK96Mq,0.743,0.111,169.981,0.0425,0.0267,0.00504,0.558,184941,-5.744,0.4,Happy
0kDTkI3VN3LEObv3v3ehhY,0.93,0.0919,122.052,0.0617,0.0188,0.00146,0.661,218000,-4.208,0.367,Happy
0KN1zd8K3MTPQyix892mCf,0.216,0.0839,171.936,0.0363,0.931,0.921,0.455,261613,-20.107,0.179,Calm
0kox8HaEK0EfeWcNVTOKTy,0.00977,0.0996,175.397,0.0396,0.993,0.891,0.211,193653,-25.787,0.13,Calm
0KpfYajJVVGgQ32Dby7e9i,0.885,0.086,97.03,0.0436,0.217,0,0.675,216667,-4.432,0.768,Happy
0KyPBZ6PAxzpcAobqxhaHu,0.569,0.0584,75.082,0.039,0.13,0.00134,0.548,241079,-6.215,0.265,Sad
0kzw2tRyuL9rzipi5ntlIy,0.866,0.257,128.038,0.0619,0.00701,0,0.578,199080,-3.804,0.619,Happy
0L6lVIgGqVHnmR3BIy8GHa,0.462,0.356,131.273,0.0272,0.367,0.0012,0.463,280186,-7.94,0.189,Sad
0lgujOKZxSa241uY8kWp7Y,0.138,0.105,77.697,0.0431,0.821,0.967,0.0703,108169,-23.644,0.0365,Calm
0M6TLjxixptslrmQpWbRoR,0.432,0.11,105.196,0.0249,0.617,0.692,0.539,288594,-9.298,0.133,Sad
0MaUnKwsHKRj4qjLDuBG66,0.79,0.0903,170.289,0.052,8.51E-05,0.000248,0.149,314200,-7.93,0.39,Happy
0Me1AKVY2wzxOKLMiaAtNy,0.887,0.275,142.014,0.0424,0.0231,0,0.689,205027,-4.27,0.937,Happy
0mEfx07KcDFUKNrU16Bk5N,0.0345,0.114,69.922,0.0422,0.996,0.973,0.641,66857,-35.587,0.934,Calm
0melIwOKh1JH4RjI1Is10w,0.583,0.359,170.886,0.0615,0.0329,0.000124,0.509,278653,-4.902,0.67,Energetic
0n2X57zaddr0ODIxUb64Sx,0.469,0.0902,128,0.0307,0.224,0.854,0.632,156473,-10.513,0.316,Calm
0N5aQPSHQAADNV3VbRH7Ph,0.852,0.0935,101.968,0.046,0.0175,0.306,0.425,321040,-5.607,0.512,Energetic
0NaUuX5de2UDdnMHuJHW03,0.118,0.101,83.075,0.0364,0.962,0.959,0.203,89143,-25.76,0.0382,Calm
0nL2bTth1UVQHWDDumMm3f,0.0567,0.106,83.721,0.0427,0.911,0.879,0.118,301291,-19.274,0.0391,Sad
0NnFglDnuZH6qKuvhZpB0r,0.0384,0.1,59.81,0.0361,0.939,0.936,0.27,335636,-24.513,0.0708,Calm
0ntQJM78wzOLVeCUAW7Y45,0.905,0.136,153.398,0.054,0.00172,0.0104,0.542,203347,-5.653,0.374,Energetic
0nyrltZrQGAJMBZc1bYvuQ,0.664,0.941,118.104,0.411,0.225,2.30E-06,0.883,250200,-10.395,0.8,Happy
0oB9964bp22Bmok0Dmxlzb,0.765,0.0936,119.974,0.0469,0.0471,1.02E-05,0.658,199895,-7.002,0.222,Happy
0Ov2L3hgjc5TlxKuBpKOQK,0.897,0.108,126.013,0.086,0.00402,8.56E-05,0.62,180972,-3.595,0.183,Energetic
0P44AUPRzaIAHNWquN0fGR,0.991,0.374,150.031,0.0668,0.000168,1.31E-05,0.543,225680,-2.78,0.766,Energetic
0p44zFo2S1c50vmx0B7mPF,0.0394,0.0881,73.742,0.0334,0.989,0.839,0.201,265641,-21.798,0.0754,Calm
0pBhA8yQ5FUKyQG13x2Qmh,0.911,0.348,117.147,0.0417,0.0557,5.54E-06,0.661,334187,-6.571,0.919,Happy
0Ph6L4l8dYUuXFmb71Ajnd,0.954,0.0555,178.043,0.0476,0.00414,0,0.425,243160,-3.756,0.933,Happy
0PolLOpygR0TWHkszVKOXz,0.887,0.37,145.141,0.0439,5.67E-05,0.274,0.368,212856,-4.995,0.459,Energetic
0PqJ7LSknltqqMNqPDClNA,0.75,0.122,149.941,0.0293,1.19E-05,0.959,0.402,210626,-7.358,0.58,Sad
0QCV5tCax1R7yNN6HQMQJx,0.568,0.112,93.246,0.0341,0.555,0.378,0.244,455600,-8.112,0.306,Calm
0QeI79sp1vS8L3JgpEO7mD,0.93,0.106,195.815,0.125,0.0192,0.0022,0.309,280000,-6.399,0.376,Happy
0QevFRZ5eiXah4VZWeviK4,0.655,0.243,119.965,0.0374,0.115,0.294,0.537,252392,-8.194,0.283,Sad
0Qp1IH1EkRCNabfgzxNMUT,0.91,0.0732,122.943,0.0431,0.00953,0.0673,0.682,159500,-2.314,0.536,Energetic
0QPZOS0GApHTXjPb7tfYD0,0.0624,0.0924,66.675,0.0333,0.241,0.827,0.204,96000,-22.01,0.0433,Calm
0QULNNd9z5s35entfiiXoa,0.884,0.0997,119.991,0.0459,0.00516,0,0.612,245626,-4.4,0.626,Happy
0QurRfrHz1RGbdPpTx7lLV,0.202,0.103,139.943,0.0444,0.937,0.441,0.575,183428,-18.544,0.142,Calm
0R194013qdfjeFiap76Nzs,0.819,0.185,139.784,0.051,0.000484,0.0412,0.422,259813,-7.698,0.598,Energetic
0rDXZpaDpGMbT8ON1DxEtT,0.385,0.0935,120.008,0.0296,0.456,0.922,0.526,206820,-13.755,0.212,Calm
0RfoeJLvPM3yGBs2jhMxkO,0.582,0.122,115.029,0.0278,0.229,0.848,0.614,308998,-7.676,0.36,Calm
0RLc0uoIsPFdIgwIEVxaXI,0.752,0.304,101.011,0.0261,0.000264,2.28E-05,0.549,188277,-5.933,0.656,Energetic
0s8OsDxW96cl290PcsI2mX,0.919,0.131,87.931,0.0436,0.0149,7.05E-05,0.524,230600,-5.505,0.848,Energetic
0SjhCnjTT2bXD9RtU8bFT9,0.894,0.269,90.604,0.0579,0.000387,0.000661,0.59,199893,-3.661,0.732,Energetic
0sSxUKtpE11r5VVx1DIMww,0.476,0.157,187.604,0.0274,0.568,0.0185,0.282,316880,-6.524,0.186,Sad
0suQ6B8Bsp0tFuCXx652Az,0.0576,0.117,145.569,0.0342,0.992,0.947,0.391,227639,-25.585,0.359,Calm
0T3UHut7JmCi5jcgYiMawm,0.497,0.081,99.093,0.0383,0.449,0.722,0.444,217987,-12.601,0.25,Calm
0TEW7oRDKD2mjJQH507ni4,0.664,0.303,128.973,0.0603,0.000312,0.0427,0.532,364743,-9.804,0.075,Energetic
0tnB2ZH4DbjLjCBmdr5VXz,0.842,0.0601,125.988,0.103,0.000417,0.835,0.825,193997,-6.412,0.44,Happy
0tzWCL2uhb2xQDWgG259nU,0.858,0.385,174.979,0.0306,0.000481,7.65E-06,0.431,254613,-3.533,0.616,Energetic
0u2P5u6lvoDfwTYjAADbn4,0.296,0.095,115.284,0.0333,0.934,0,0.351,200185,-10.109,0.12,Sad
0uESMJnrEKYnZoRbNTvmpB,0.695,0.196,193.672,0.0705,0.0142,1.13E-05,0.379,255760,-5.922,0.432,Energetic
0UgXbcumMvXTdIpUMXRfRP,0.662,0.393,179.97,0.195,0.234,0.809,0.642,283213,-9.153,0.106,Energetic
0uI7yAKUf52Cn7y3sYyjiX,0.518,0.104,151.891,0.0897,0.223,0,0.815,177667,-6.594,0.877,Happy
0ujfGX9iCJZzqWlkKoFVdc,0.18,0.116,62.392,0.0433,0.628,0.822,0.202,90435,-22.992,0.0307,Calm
0Uon5NsSAkBDx69XYOaQ5P,0.37,0.123,114.26,0.0543,0.883,0,0.618,177152,-10.5,0.433,Sad
0us61DzC86dpwdtNmM5voY,0.00119,0.112,69.275,0.518,0.996,0.973,0.624,68571,-37.794,0,Calm
0vicQm86o7GnT42GdG34sA,0.482,0.102,141.863,0.0359,0.713,0.226,0.246,278093,-9.949,0.0776,Sad
0vK80mtYypq4dAwQelZ2Dh,0.784,0.317,125.122,0.0659,0.0426,0.0235,0.579,177120,-4.686,0.562,Energetic
0VrJzyZPEkz3VliJoU3w6A,0.134,0.192,62.562,0.0478,0.994,0.935,0.623,250987,-18.953,0.171,Calm
0W4RUo3m0jL0wHADS0PLme,0.0845,0.109,92.033,0.0327,0.988,0.93,0.41,205695,-21.814,0.0795,Calm
0w9rKPt8242huJZKFA1zGX,0.0167,0.11,73.77,0.0509,0.989,0.848,0.461,217339,-22.104,0.259,Calm
0Wjppz48V1KnrxR80CXE7I,0.13,0.0997,76.295,0.0366,0.766,0.905,0.217,99429,-24.219,0.037,Calm
0x4CFzoSdqVq5qTGgwZFuX,0.185,0.0827,140.148,0.0302,0.671,0,0.5,240000,-13.209,0.159,Sad
0x5bRvUlDk1rmzMorvUxYR,0.119,0.0851,84.932,0.0503,0.905,0.941,0.175,96000,-22.492,0.0281,Calm
0XiivUyimrmkUyJkKiILPW,0.988,0.0709,184.995,0.0786,7.12E-06,0.44,0.414,161733,-3.703,0.489,Energetic
0xlX5qEah0o5R4TIktSEOG,0.00279,0.0994,73.189,0.039,0.991,0.936,0.344,85926,-30.108,0.393,Calm
0Y41ZfnVaNRQp9dQiagwbC,0.263,0.0746,159.875,0.0325,0.983,0.92,0.494,163875,-16.818,0.105,Calm
0Yb5Kfpf3boElZNa61wPdJ,0.856,0.0846,158.671,0.161,0.0535,6.75E-06,0.476,197800,-3.764,0.847,Energetic
0yBM8cOHjb6iiMI2eM8pIc,0.185,0.101,142.694,0.0348,0.89,0.94,0.171,161750,-19.651,0.264,Calm
0yfd3MSq6JEsNxOzSLJR7g,0.178,0.109,108.605,0.0303,0.906,0.558,0.373,268455,-15.52,0.0933,Sad
0YXPmthF2oHLQCYIGkSrZy,0.0229,0.0935,145.717,0.0406,0.988,0.819,0.308,133918,-26.941,0.148,Calm
0Z9ofr2DJYQ6lSlVUcM4ZQ,0.656,0.252,97.992,0.0436,0.114,0.852,0.714,210862,-6.094,0.428,Energetic
0Zbbxnx4SGGHoIow4PpISP,0.497,0.0911,99.137,0.0809,0.152,0,0.677,236853,-5.763,0.419,Happy
0ZbsibQtb9M2N33y6FcyFh,0.593,0.126,123.998,0.0298,0.00771,0.275,0.603,435484,-10.971,0.0986,Energetic
0ZbXIvAR19BGZGc8zafdhl,0.116,0.103,71.553,0.0429,0.895,0.735,0.134,98028,-24.784,0.0336,Calm
0Zl6KnmirT1PeGZvAZY9T1,0.382,0.134,127.038,0.0543,0.924,0.61,0.532,229657,-17.683,0.0455,Calm
0zNqfg3MpUGku4T6h2Pmab,0.323,0.103,133.382,0.0287,0.972,0.904,0.424,143000,-27.586,0.436,Calm
100jBpD7nuiMriR7ErXQ9S,0.378,0.115,108.034,0.0269,0.922,0.825,0.501,262000,-14.959,0.193,Calm
1060gzllf4b0UETAXisR5l,0.824,0.0922,89.972,0.0413,0.000127,0.000311,0.501,236427,-7.25,0.57,Energetic
10Nmj3JCNoMeBQ87uw5j8k,0.913,0.346,96.184,0.0437,0.0193,8.59E-06,0.556,282160,-2.36,0.73,Energetic
11FvComd16zZX61DrlP3o1,0.8,0.329,83.81,0.0523,0.00977,3.08E-06,0.391,210851,-2.761,0.398,Energetic
11oVQ68B4PnVQHIY6svpXg,0.183,0.102,117.321,0.0362,0.958,0.821,0.221,192000,-17.59,0.057,Calm
11x57xUo3O5NQV5MLGD6zw,0.0865,0.115,69.782,0.0379,0.895,0.575,0.21,88421,-25.304,0.0489,Calm
12nlJypOUmAV4VQxFvfAw1,0.0305,0.0921,72.398,0.0574,0.987,0.783,0.382,283506,-26.271,0.0835,Calm
12nUGGcjJgQYkGawzk0rJp,0.347,0.147,76.868,0.0335,0.228,0.00325,0.124,399012,-11.392,0.16,Sad
12oa6kHYN9FamPdcpSM54i,0.218,0.0866,133.036,0.0461,0.343,0.00596,0.775,281567,-11,0.361,Sad
13HVjjWUZFaWilh2QUJKsP,0.311,0.107,147.464,0.0288,0.818,1.65E-05,0.546,260533,-10.396,0.246,Sad
13i7d4s5EkgOIDHdzM0R4w,0.799,0.069,169.896,0.0296,0.0041,6.29E-06,0.328,262253,-5.992,0.502,Sad
13iMiwdY7pgE1f7NwYKr1D,0.229,0.167,117.823,0.0307,0.794,0,0.593,130545,-8.888,0.42,Sad
13PUJCvdTSCT1dn70tlGdm,0.537,0.143,144.994,0.0296,0.743,0.732,0.601,285320,-9.464,0.394,Sad
13SBuUaDElB4vowkW6nQxk,0.102,0.104,63.679,0.0423,0.987,0.954,0.315,245200,-22.435,0.169,Calm
14PxQSLWQxUQvIFcP3uQas,0.114,0.0957,66.43,0.0441,0.981,0.97,0.127,115200,-26.26,0.0372,Calm
157kvk58Qr04AiuDv2aQWd,0.202,0.0871,139.857,0.0383,0.71,0.678,0.616,194571,-14.144,0.0773,Calm
15bAMg00o4VdWmQrlkbfG3,0.816,0.621,124.014,0.0411,0.226,0.453,0.737,170458,-9.22,0.533,Happy
15VDHAMS4JCLziCjNkmQl1,0.306,0.103,117.288,0.0363,0.891,0,0.44,181533,-8.947,0.201,Sad
16A82OAjqWawjDM8K5HCdm,0.0517,0.11,111.311,0.0548,0.985,0.945,0.428,253904,-21.74,0.13,Calm
17Nk1aji6gd26vabky7fMi,0.982,0.312,122.881,0.0617,1.94E-05,0.0185,0.429,219573,-2.962,0.583,Energetic
18cST7DK31Ab2rTH1POP6A,0.87,0.359,120.033,0.0546,0.000532,0.0219,0.699,238466,-4.925,0.778,Happy
18HZyQSQdmtxv5i9YSHJTw,0.0191,0.113,112.814,0.0362,0.99,0.902,0.495,142861,-26.317,0.243,Calm
18IyalmZGqUTwvZStMf7A1,0.789,0.0446,144.047,0.0468,0.403,0.0811,0.609,223853,-5.565,0.717,Sad
18uwL0vNUanqZH0ro2QcOP,0.178,0.623,93.982,0.0574,0.607,0,0.795,181613,-11.991,0.608,Sad
199PI6mx1IFrDk8ZMtNTyX,0.11,0.115,73.914,0.0345,0.984,0.963,0.321,219215,-23.63,0.173,Calm
19t5Le0ny4yXMDpvevhsrV,0.00746,0.121,75.499,0.0473,0.983,0.877,0.353,84444,-26.188,0.0916,Calm
1A2VqNdoncLYrSDxRxgxZZ,0.424,0.379,122.734,0.0337,0.0535,0.881,0.352,548587,-12.952,0.206,Calm
1b7LMtXCXGc2EwOIplI35z,0.564,0.0631,124.166,0.0392,0.0934,0.000531,0.795,203893,-10.482,0.961,Happy
1B96GJer0xmo0t9rZg5V4c,0.0281,0.0813,72.124,0.0372,0.994,0.951,0.496,150031,-24.864,0.157,Calm
1bCmvezFg5MRcENzCGG1Cy,0.815,0.0826,154.514,0.144,0.0491,0,0.511,215307,-3.14,0.586,Happy
1BEljQOZPNNjsC3nfIAHxS,0.229,0.105,92.014,0.0342,0.842,0.00205,0.481,149635,-13.5,0.0525,Sad
1bp2IO61zbQrbWNmKKxg3f,0.448,0.206,83.293,0.0396,0.365,5.30E-06,0.596,264503,-9.616,0.796,Happy
1BTZP3wYlQbjnq5L1QUGBc,0.927,0.0849,136.021,0.0858,0.00421,0.000367,0.642,197280,-4.101,0.374,Energetic
1bx7OUl2UmAnA5oZkm9If7,0.981,0.386,134.007,0.06,0.0171,1.07E-05,0.58,195667,-2.603,0.861,Energetic
1bxa0TPdBMHPeZFHe0adCw,0.837,0.344,168.114,0.115,0.0842,0,0.618,174800,-5.574,0.8,Happy
1C2JiKNMjv8FaZlrgwObBJ,0.189,0.106,139.894,0.0351,0.99,0.893,0.301,234000,-16.072,0.0379,Calm
1c6aKOdOoR1TFqn0JTyc4R,0.195,0.102,61.555,0.0382,0.792,0.93,0.216,242466,-14.026,0.14,Calm
1Cfws8y490Zpsqsyeme6V1,0.861,0.0794,125.942,0.173,0.0589,2.64E-06,0.699,206452,-3.09,0.315,Happy
1CIEmoSeUqxnUAx5tQBiDS,0.727,0.327,110.037,0.0679,0.706,0.000105,0.873,196198,-7.373,0.835,Happy
1CIIzFfELXMwLyKaGdpTul,0.0564,0.101,60.01,0.0341,0.946,0.889,0.162,257625,-20.696,0.0361,Calm
1CLmFKW99S8eJrebO3GB04,0.4,0.161,112.331,0.0291,0.893,0.576,0.581,237973,-8.739,0.433,Sad
1Cv1YLb4q0RzL6pybtaMLo,0.525,0.0714,112.022,0.0578,0.183,0,0.878,158571,-6.832,0.694,Happy
1D17MLY1m8MUpbMveEljMN,0.575,0.103,129.953,0.0343,0.478,0.128,0.707,262013,-6.629,0.216,Energetic
1DH7pP36cZtRWRAynNSLeC,0.692,0.098,131.694,0.0702,0.000696,0.766,0.591,178939,-7.817,0.547,Energetic
1dssHOp3HpaK9o5c0CL7xU,0.989,0.4,103.48,0.111,0.00123,0.822,0.341,207295,-3.828,0.119,Happy
1DVyQeQEHahLABVhsGzWXJ,0.523,0.116,111.982,0.0556,0.298,0.829,0.884,398376,-10.747,0.563,Energetic
1edoYv7eYCeTzzQqFjvsDu,0.932,0.0476,109.989,0.0376,1.61E-05,0.0188,0.575,172600,-2.72,0.659,Energetic
1eK4KsyjAzr2xJ86Tj5SWa,0.932,0.138,93.675,0.0885,0.000295,7.59E-05,0.592,175026,-4.491,0.698,Energetic
1elEZGOMFRU5n7bnOtUaqi,0.372,0.116,85.01,0.0683,0.548,0.000638,0.763,226000,-7.07,0.76,Sad
1EwyAL8SdJpIX0M9b1ArAp,0.305,0.142,165.9,0.0295,0.84,0,0.472,193750,-11.465,0.584,Sad
1EyctTkkGJVS3UYTuy8YZM,0.0595,0.104,115.929,0.0435,0.913,0.882,0.435,133645,-17.456,0.0898,Calm
1f3yAtsJtY87CTmM8RLnxf,0.912,0.106,116.761,0.0564,2.55E-05,0.000173,0.502,301920,-4.556,0.72,Energetic
1FHNctV68GUNLgXclG2DtR,0.845,0.336,119.48,0.0372,0.0528,0,0.639,233373,-3.333,0.871,Happy
1fMZR4DD2mE0iXginD9fOc,0.857,0.27,125.946,0.0468,0.0326,0.464,0.667,159523,-4.729,0.301,Energetic
1FoMWISq2KNqKappkrG5Yo,0.896,0.192,128.026,0.0936,0.00428,0.000137,0.656,210000,-4.461,0.506,Energetic
1FTSo4v6BOZH9QxKc3MbVM,0.789,0.0754,129.804,0.0676,0.00178,0.0071,0.674,121160,-6.903,0.918,Energetic
